,Name,Country,Lattitude,Longitude,Max Temperature (k),% Humidity,Wind Speed,Cloud Coverage,Time
321,Doha,QA,25.29,51.53,305.37,24,8.7,100,22:38 04-10-2020
322,Elko,US,41.0,-115.5,287.15,28,3.1,1,22:48 04-10-2020
323,Huarmey,PE,-10.07,-78.15,296.83,75,3.49,41,22:48 04-10-2020
324,Saint Anthony,US,45.02,-93.22,279.82,41,2.01,1,22:47 04-10-2020
325,Walvis Bay,NA,-22.96,14.51,296.4,37,4.19,93,22:48 04-10-2020
326,Abalak,RU,58.13,68.59,277.27,87,2.98,31,22:48 04-10-2020
327,Autazes,BR,-3.58,-59.13,297.43,89,0.32,26,22:48 04-10-2020
328,Enshi,CN,30.3,109.48,287.59,66,0.7,100,22:48 04-10-2020
329,Ostrovnoy,RU,68.05,39.51,261.87,95,4.02,56,22:48 04-10-2020
330,Laas,IT,46.62,10.7,282.59,41,1.0,5,22:48 04-10-2020
331,Auki,SB,-8.77,160.7,302.07,71,0.93,76,22:48 04-10-2020
332,Inhambane,MZ,-23.86,35.38,294.5,76,2.0,5,22:48 04-10-2020
333,Faya,SA,18.39,42.45,291.15,77,4.1,66,22:48 04-10-2020
334,Nioro,GM,13.35,-15.75,295.05,62,3.02,0,22:46 04-10-2020
335,Kununurra,AU,-15.77,128.73,299.15,69,3.6,100,22:48 04-10-2020
336,Sayyan,YE,15.17,44.32,287.13,43,1.53,2,22:48 04-10-2020
337,Bagdarin,RU,54.43,113.6,284.58,28,1.09,0,22:48 04-10-2020
338,Dunedin,NZ,-45.87,170.5,287.59,76,5.81,0,22:46 04-10-2020
339,Beloha,MG,-25.17,45.05,294.4,84,6.12,19,22:48 04-10-2020
340,Isangel,VU,-19.55,169.27,298.92,59,4.14,64,22:48 04-10-2020
341,Rodino,RU,52.5,80.25,279.03,59,3.57,0,22:48 04-10-2020
342,Chenzhou,CN,25.8,113.03,286.6,83,3.72,100,22:48 04-10-2020
343,Quatre Cocos,MU,-20.21,57.76,298.15,83,3.1,40,22:48 04-10-2020
344,Kiunga,PG,-6.12,141.29,307.52,50,1.23,93,22:48 04-10-2020
345,Kuah,MY,6.33,99.84,304.15,70,2.6,20,22:48 04-10-2020
346,Kalat,PK,29.02,66.59,289.82,21,0.66,92,22:48 04-10-2020
347,Khandyga,RU,62.67,135.6,275.35,86,5.43,56,22:48 04-10-2020
348,Poykovskiy,RU,61.23,73.33,276.15,74,5.0,99,22:48 04-10-2020
349,Dillon,US,34.42,-79.37,282.59,75,1.5,1,22:48 04-10-2020
350,Santana,BR,-0.06,-51.18,299.15,100,1.0,75,22:48 04-10-2020
351,Lorengau,PG,-2.02,147.27,302.0,73,1.72,65,22:48 04-10-2020
352,Vila,PT,42.03,-8.16,287.59,100,0.5,75,22:48 04-10-2020
353,Muzhi,RU,65.37,64.67,275.21,97,5.68,100,22:48 04-10-2020
354,Bereket,TM,39.24,55.52,286.73,50,1.19,88,22:48 04-10-2020
355,Province of Mantua,IT,45.17,10.78,286.48,57,2.1,0,22:48 04-10-2020
356,Barabinsk,RU,55.36,78.36,274.13,91,3.47,99,22:48 04-10-2020
357,Gao,ML,16.64,1.64,301.73,23,4.95,98,22:48 04-10-2020
358,Norman Wells,CA,65.28,-126.83,272.15,36,1.95,75,22:48 04-10-2020
359,Sobolevo,RU,54.43,31.9,275.21,78,2.7,99,22:48 04-10-2020
360,Birjand,IR,32.87,59.22,287.15,82,6.2,90,22:48 04-10-2020
361,Gull Lake,CA,50.1,-108.48,273.15,67,5.7,75,22:48 04-10-2020
362,Aldan,RU,58.6,125.39,273.36,69,1.8,100,22:48 04-10-2020
363,St. Pete Beach,US,27.73,-82.74,296.48,69,4.1,1,22:48 04-10-2020
364,Laguna,US,38.42,-121.42,292.59,63,5.1,1,22:48 04-10-2020
365,Oruzgan,AF,32.83,66.0,287.0,34,0.47,100,22:48 04-10-2020
366,Hofn,IS,64.25,-15.21,279.02,88,4.76,100,22:48 04-10-2020
367,Burnie,AU,-41.07,145.92,289.82,50,7.6,30,22:48 04-10-2020
368,Mahenge,TZ,-8.68,36.72,288.87,85,1.31,44,22:48 04-10-2020
369,Panguna,PG,-6.32,155.48,298.47,74,1.42,73,22:48 04-10-2020
370,Jérémie,HT,18.65,-74.12,298.99,76,0.2,78,22:48 04-10-2020
371,Kruisfontein,ZA,-34.0,24.73,286.99,52,2.37,25,22:44 04-10-2020
372,Puerto del Rosario,ES,28.5,-13.86,292.15,72,6.2,62,22:48 04-10-2020
373,Huanren,CN,41.26,125.37,287.02,28,2.53,0,22:48 04-10-2020
374,Raja,SS,8.46,25.68,299.38,53,0.68,100,22:48 04-10-2020
375,Zinder,NE,13.81,8.99,302.52,13,4.17,100,22:48 04-10-2020
376,Zyryanka,RU,65.75,150.85,269.83,96,0.5,100,22:48 04-10-2020
377,Vaitape,PF,-16.52,-151.75,302.31,70,2.58,94,22:48 04-10-2020
378,Bulgan,MN,48.81,103.53,284.55,23,1.77,0,22:48 04-10-2020
379,San Policarpo,PH,12.18,125.51,301.4,68,3.37,34,22:48 04-10-2020
380,Kaka,TM,37.35,59.61,287.28,60,2.24,98,22:48 04-10-2020
381,Yenagoa,NG,4.92,6.26,298.7,90,0.37,31,22:48 04-10-2020
382,Lengshuitan,CN,26.41,111.6,286.14,81,4.3,99,22:48 04-10-2020
383,Coos Bay,US,43.37,-124.22,285.37,93,7.7,90,22:48 04-10-2020
384,Ruteng,ID,-8.61,120.47,297.79,49,1.35,65,22:48 04-10-2020
385,Souillac,MU,-20.52,57.52,298.15,83,3.1,40,22:42 04-10-2020
386,Alice Springs,AU,-23.7,133.88,301.15,13,4.1,16,22:48 04-10-2020
387,Bathsheba,BB,13.22,-59.52,299.15,78,5.1,40,22:48 04-10-2020
388,Bodden Town,KY,19.28,-81.25,299.82,75,1.51,93,22:48 04-10-2020
389,Khorramabad,IR,33.49,48.36,284.57,49,0.93,22,22:48 04-10-2020
390,Xai-Xai,MZ,-25.05,33.64,292.13,84,1.85,73,22:48 04-10-2020
391,Skibbereen,IE,51.55,-9.27,285.15,87,3.6,40,22:48 04-10-2020
392,Charlestown,AU,-32.95,151.67,298.71,38,10.8,0,22:48 04-10-2020
393,Myitkyina,MM,25.38,97.4,306.05,22,1.05,0,22:48 04-10-2020
394,Richards Bay,ZA,-28.78,32.04,293.83,83,6.39,3,22:47 04-10-2020
395,Acapulco de Juárez,MX,16.86,-99.89,299.15,94,3.6,40,22:48 04-10-2020
396,Nicolás Bravo,MX,18.45,-88.92,295.38,94,1.16,67,22:48 04-10-2020
397,Makakilo City,US,21.35,-158.09,301.15,57,5.1,1,22:48 04-10-2020
398,Păltiniş,RO,48.22,26.65,278.15,48,3.6,89,22:48 04-10-2020
399,Evanston,US,42.04,-87.69,280.37,56,1.5,40,22:44 04-10-2020
400,Itupiranga,BR,-5.13,-49.33,299.15,94,3.1,40,22:48 04-10-2020
401,Riverton,US,40.52,-111.94,289.15,47,1.64,1,22:48 04-10-2020
402,Kimbe,PG,-5.55,150.14,304.33,63,2.05,70,22:48 04-10-2020
403,Alofi,NU,-19.06,-169.92,301.15,65,2.6,9,22:48 04-10-2020
404,Zhigalovo,RU,54.81,105.16,282.21,60,1.3,76,22:48 04-10-2020
405,Pyatnitskoye,RU,50.42,37.83,276.86,72,4.44,78,22:48 04-10-2020
406,Fort Nelson,CA,58.81,-122.7,273.15,89,4.1,20,22:48 04-10-2020
407,Yei,SS,4.09,30.68,294.24,73,1.43,99,22:48 04-10-2020
408,Tungor,RU,53.38,142.96,273.23,94,2.48,0,22:48 04-10-2020
409,Poronaysk,RU,49.22,143.12,273.19,90,3.46,42,22:48 04-10-2020
410,Kemijärvi,FI,66.71,27.43,262.57,92,1.42,9,22:48 04-10-2020
411,Águas Vermelhas,BR,-15.75,-41.46,292.86,78,1.92,76,22:48 04-10-2020
412,Ouro Preto do Oeste,BR,-10.75,-62.22,295.88,90,0.58,76,22:48 04-10-2020
413,Port Augusta,AU,-32.5,137.77,293.15,59,8.2,90,22:48 04-10-2020
414,Waingapu,ID,-9.66,120.26,302.67,64,3.38,42,22:48 04-10-2020
415,La Santisima Trinidad,BO,-14.83,-64.9,292.69,65,1.46,12,22:48 04-10-2020
416,Poli,TZ,-3.33,36.8,294.15,88,2.07,75,22:48 04-10-2020
417,Margate,GB,51.38,1.39,287.04,93,4.1,31,22:44 04-10-2020
418,Kapoeta,SS,4.77,33.59,300.54,40,4.99,23,22:48 04-10-2020
419,Upington,ZA,-28.45,21.26,295.15,60,4.6,7,22:48 04-10-2020
420,Aykhal,RU,66.0,111.5,272.15,54,5.0,100,22:48 04-10-2020
421,Port-Gentil,GA,-0.72,8.78,300.67,83,5.6,100,22:48 04-10-2020
422,Kapit,MY,2.02,112.93,302.15,69,1.0,97,22:48 04-10-2020
423,Key West,US,24.56,-81.78,300.15,83,3.1,75,22:48 04-10-2020
424,Lucapa,AO,-8.42,20.74,291.15,74,0.99,63,22:48 04-10-2020
425,Codrington,AU,-38.27,141.97,286.75,58,12.18,85,22:48 04-10-2020
426,Malyn,UA,50.77,29.24,274.15,55,4.0,0,22:48 04-10-2020
427,Carutapera,BR,-1.2,-46.02,299.82,84,2.95,100,22:48 04-10-2020
428,Clyde River,CA,70.47,-68.59,257.15,91,8.7,75,22:48 04-10-2020
429,Suntar,RU,62.14,117.63,276.55,72,2.13,100,22:48 04-10-2020
430,Ribeira Grande,PT,38.52,-28.7,289.56,73,2.1,97,22:48 04-10-2020
431,Goundam,ML,16.41,-3.67,300.64,19,2.32,0,22:48 04-10-2020
432,Mazamari,PE,-11.33,-74.53,295.64,63,0.83,90,22:48 04-10-2020
433,Dmitriyevskoye,RU,45.81,41.9,279.19,70,4.16,1,22:48 04-10-2020
434,The Pas,CA,53.83,-101.25,272.15,63,7.7,90,22:48 04-10-2020
435,Winsford,GB,53.18,-2.52,287.15,67,2.1,100,22:48 04-10-2020
436,Bull Savanna,JM,17.89,-77.59,296.71,80,1.28,94,22:48 04-10-2020
437,Mwense,ZM,-10.38,28.7,290.76,68,2.45,91,22:48 04-10-2020
438,Khovd,MN,48.01,91.64,280.99,29,2.18,92,22:48 04-10-2020
439,High Level,CA,58.52,-117.14,271.15,42,6.2,40,22:48 04-10-2020
440,Chapais,CA,49.78,-74.85,273.15,95,3.1,90,22:48 04-10-2020
441,Sangmélima,CM,2.93,11.98,293.72,81,1.51,100,22:48 04-10-2020
442,Abnūb,EG,27.27,31.15,286.15,54,5.1,0,22:48 04-10-2020
443,Acarí,PE,-15.43,-74.62,296.19,69,1.51,55,22:48 04-10-2020
444,Salinas,US,36.68,-121.66,289.82,71,6.2,20,22:47 04-10-2020
445,Smidovich,RU,48.6,133.82,282.18,42,4.54,0,22:48 04-10-2020
446,Tashtagol,RU,52.77,87.89,275.61,73,0.87,0,22:48 04-10-2020
447,Ishigaki,JP,24.34,124.16,298.15,69,4.1,20,22:48 04-10-2020
448,Houndé,BF,11.5,-3.52,301.37,52,2.46,27,22:48 04-10-2020
449,Klæbu,NO,63.3,10.48,273.15,92,4.1,98,22:48 04-10-2020
450,Turaif,SA,31.67,38.66,281.15,100,4.1,0,22:48 04-10-2020
451,Bucerías,MX,20.75,-105.33,298.15,78,2.1,40,22:48 04-10-2020
452,Svetlaya,RU,46.54,138.33,273.95,87,3.24,50,22:48 04-10-2020
453,Yaan,NG,7.38,8.57,299.02,78,0.6,100,22:48 04-10-2020
454,Banda Aceh,ID,5.56,95.32,302.9,69,3.55,28,22:46 04-10-2020
455,Leshukonskoye,RU,64.9,45.76,264.81,94,1.15,20,22:48 04-10-2020
456,Saint-Augustin,CA,51.23,-58.65,270.95,98,3.87,100,22:48 04-10-2020
457,Nemuro,JP,43.32,145.57,275.15,55,4.6,40,22:48 04-10-2020
458,Idrinskoye,RU,54.37,92.14,275.2,73,0.93,0,22:48 04-10-2020
459,Wanxian,CN,30.8,108.39,292.76,54,2.33,100,22:48 04-10-2020
460,Port-Cartier,CA,50.03,-66.87,274.26,86,4.6,75,22:48 04-10-2020
461,Wāris Alīganj,IN,25.02,85.63,306.04,12,2.51,0,22:48 04-10-2020
462,Nuuk,GL,64.18,-51.72,272.15,80,1.5,100,22:48 04-10-2020
463,Aleksandrov Gay,RU,50.15,48.57,277.67,64,3.84,51,22:48 04-10-2020
464,Vredendal,ZA,-31.67,18.5,287.01,87,1.13,14,22:48 04-10-2020
465,Qasigiannguit,GL,68.82,-51.19,272.15,46,4.6,96,22:48 04-10-2020
466,Nexø,DK,55.06,15.13,273.15,75,1.5,0,22:48 04-10-2020
467,Grindavik,IS,63.84,-22.43,278.15,93,4.1,90,22:48 04-10-2020
468,Tynda,RU,55.17,124.72,278.82,60,2.13,61,22:48 04-10-2020
469,Kattivākkam,IN,13.22,80.32,302.59,88,1.5,40,22:48 04-10-2020
470,Sakaiminato,JP,35.55,133.23,286.15,37,1.5,75,22:48 04-10-2020
471,Greater Sudbury,CA,46.49,-80.99,271.48,74,3.1,5,22:43 04-10-2020
472,Adrar,MR,20.5,-10.07,298.18,17,5.12,0,22:48 04-10-2020
473,Presidencia Roque Sáenz Peña,AR,-26.79,-60.44,287.05,68,1.98,0,22:48 04-10-2020
474,Sena Madureira,BR,-9.07,-68.66,297.17,82,0.63,100,22:48 04-10-2020
475,Koryazhma,RU,61.31,47.17,268.77,95,2.3,18,22:48 04-10-2020
476,Barquisimeto,VE,10.07,-69.32,299.04,55,2.09,100,22:48 04-10-2020
477,Am Timan,TD,11.03,20.28,302.38,37,1.43,98,22:46 04-10-2020
478,Sumbe,AO,-11.21,13.84,298.07,91,3.0,97,22:48 04-10-2020
479,Hell,NO,63.45,10.9,273.15,92,4.1,83,22:48 04-10-2020
480,Havre-St-Pierre,CA,50.23,-63.6,272.15,86,8.2,90,22:44 04-10-2020
481,Oliver,CA,49.18,-119.55,287.15,50,2.1,75,22:46 04-10-2020
482,Kikwit,CD,-5.04,18.82,294.36,79,1.2,83,22:48 04-10-2020
483,Lander,US,42.83,-108.73,287.15,30,7.2,75,22:48 04-10-2020
484,Gamboula,CF,4.12,15.14,294.7,79,0.18,100,22:48 04-10-2020
485,Parkes,AU,-33.13,148.18,294.26,54,1.34,11,22:48 04-10-2020
486,Pangkalanbuun,ID,-2.68,111.62,304.23,67,1.11,86,22:48 04-10-2020
487,Semnan,IR,35.57,53.4,285.28,50,1.39,78,22:48 04-10-2020
488,Maku,IR,39.29,44.45,278.33,51,0.54,96,22:48 04-10-2020
489,Klyuchi,RU,52.27,79.17,279.46,55,3.25,0,22:48 04-10-2020
490,Gurun,MY,5.82,100.47,304.15,74,3.1,20,22:48 04-10-2020
491,Mapiripán,CO,2.89,-72.13,294.95,91,0.44,96,22:48 04-10-2020
492,Boende,CD,-0.22,20.87,295.61,86,0.78,100,22:48 04-10-2020
493,Cam Ranh,VN,11.92,109.16,304.15,70,2.6,20,22:48 04-10-2020
494,Grand Haven,US,43.06,-86.23,275.37,69,1.5,75,22:48 04-10-2020
495,Visby,SE,57.64,18.3,269.15,92,1.5,0,22:48 04-10-2020
496,São Mateus,BR,-18.72,-39.86,296.05,88,2.76,38,22:48 04-10-2020
497,Mweka,CD,-4.85,21.57,293.55,85,0.78,92,22:48 04-10-2020
498,Khovu-Aksy,RU,51.13,93.6,274.85,49,1.69,7,22:48 04-10-2020
499,Vila Velha,BR,-20.33,-40.29,296.15,94,1.5,90,22:48 04-10-2020
500,Parry Sound,CA,45.35,-80.03,275.37,85,5.81,29,22:48 04-10-2020
501,Cap Malheureux,MU,-19.98,57.61,298.15,83,3.1,40,22:42 04-10-2020
502,Youkounkoun,GN,12.53,-13.13,297.15,73,3.41,0,22:48 04-10-2020
503,Speedway,US,39.8,-86.27,280.37,52,3.6,75,22:48 04-10-2020
504,Vila Franca do Campo,PT,37.72,-25.43,288.15,72,4.1,20,22:48 04-10-2020
505,San Juan,AR,-31.54,-68.54,293.89,38,3.9,0,22:48 04-10-2020
506,Bilibino,RU,68.05,166.44,261.39,82,1.88,100,22:48 04-10-2020
507,Kalmar,SE,56.66,16.36,275.37,92,1.0,0,22:45 04-10-2020
508,Lufilufi,WS,-13.87,-171.6,303.15,84,4.05,90,22:48 04-10-2020
509,Houston,US,29.76,-95.36,294.26,60,3.1,90,22:46 04-10-2020
510,Praia da Vitória,PT,38.73,-27.07,286.15,100,4.3,36,22:48 04-10-2020
511,Santa Maria,BR,-29.68,-53.81,286.15,93,0.5,40,22:46 04-10-2020
512,Taywarah,AF,33.35,64.42,279.19,41,1.65,100,22:48 04-10-2020
513,Rexburg,US,43.83,-111.79,289.15,36,6.2,75,22:48 04-10-2020
514,São João da Barra,BR,-21.64,-41.05,295.19,82,0.93,100,22:48 04-10-2020
515,Puerto Escondido,MX,15.85,-97.07,299.85,71,1.47,12,22:48 04-10-2020
516,Tabou,CI,4.42,-7.35,299.48,84,1.55,50,22:48 04-10-2020
517,Sept-Îles,CA,50.2,-66.38,274.26,86,4.6,75,22:48 04-10-2020
518,Asău,RO,46.43,26.4,276.15,59,1.0,98,22:48 04-10-2020
519,Bereda,ES,43.27,-7.54,286.15,100,0.8,75,22:48 04-10-2020
520,Vitim,RU,59.45,112.56,280.15,74,0.76,98,22:48 04-10-2020
521,Saint-Joseph,RE,-21.37,55.62,298.15,73,4.1,42,22:48 04-10-2020
522,Tuy Hoa,VN,13.08,109.3,301.94,67,1.87,77,22:48 04-10-2020
523,Farsund,NO,58.09,6.8,279.26,84,1.23,100,22:48 04-10-2020
524,Ottawa,CA,45.41,-75.7,275.93,59,6.7,20,22:48 04-10-2020
525,Kamenka,RU,51.32,42.77,279.82,81,1.79,92,22:48 04-10-2020
526,Sotouboua,TG,8.57,0.98,299.07,52,0.72,100,22:48 04-10-2020
527,Atar,MR,20.52,-13.05,299.1,19,4.9,0,22:48 04-10-2020
528,Pakokku,MM,21.33,95.1,306.28,26,3.47,79,22:48 04-10-2020
529,Laguna de Perlas,NI,12.34,-83.67,299.44,81,3.48,59,22:48 04-10-2020
530,Nabire,ID,-3.37,135.48,304.7,60,2.17,51,22:44 04-10-2020
531,Mustvee,EE,58.85,26.94,272.15,92,4.1,1,22:48 04-10-2020
532,Pathein,MM,16.78,94.73,304.95,49,3.77,84,22:48 04-10-2020
533,Vestmannaeyjar,IS,63.44,-20.27,279.46,90,2.8,100,22:48 04-10-2020
534,Broome,US,42.25,-75.83,275.37,69,6.7,75,22:48 04-10-2020
535,Dali,CN,25.7,100.18,294.01,18,1.6,0,22:48 04-10-2020
536,Bujaru,BR,-1.51,-48.04,298.15,94,1.5,100,22:48 04-10-2020
537,Nouadhibou,MR,20.93,-17.03,294.15,68,11.3,0,22:48 04-10-2020
538,Namatanai,PG,-3.67,152.43,302.46,69,2.37,56,22:48 04-10-2020
539,Totskoye,RU,52.52,52.76,277.28,69,3.69,0,22:48 04-10-2020
540,San Luis,AR,-33.3,-66.34,289.44,43,7.43,0,22:48 04-10-2020
541,Victor Harbor,AU,-35.57,138.62,292.59,48,9.3,40,22:48 04-10-2020
542,Chino Valley,US,34.76,-112.45,288.15,40,2.6,1,22:48 04-10-2020
543,Kananga,CD,-5.9,22.42,293.48,81,1.44,71,22:45 04-10-2020
544,Bonavista,CA,48.65,-53.11,274.26,85,0.89,72,22:48 04-10-2020
545,Stokmarknes,NO,68.56,14.91,273.15,84,1.34,100,22:48 04-10-2020
546,Teknāf,BD,20.86,92.31,303.28,57,1.35,6,22:48 04-10-2020
547,Bose,IT,45.46,8.01,287.59,44,2.1,0,22:48 04-10-2020
548,Omboué,GA,-1.57,9.26,299.7,88,3.6,98,22:48 04-10-2020
549,Eureka,US,40.8,-124.16,285.93,81,6.2,90,22:47 04-10-2020
550,Padang,ID,-0.95,100.35,304.45,58,0.28,69,22:48 04-10-2020
551,Kinablangan,PH,7.69,126.55,302.67,60,3.94,36,22:48 04-10-2020
552,Ondjiva,AO,-17.07,15.73,291.69,65,2.98,94,22:48 04-10-2020
553,Ludvika,SE,60.15,15.19,272.15,63,2.6,0,22:48 04-10-2020
554,Buriti Bravo,BR,-5.84,-43.83,295.99,90,0.72,91,22:48 04-10-2020
555,Camopi,GF,3.17,-52.32,296.28,95,0.7,100,22:48 04-10-2020
556,Lianzhou,CN,24.78,112.38,291.31,80,3.25,100,22:48 04-10-2020
557,Hamada,JP,34.88,132.08,289.82,57,2.6,75,22:48 04-10-2020
558,Kpandae,GH,8.47,-0.01,300.2,55,0.9,98,22:47 04-10-2020
559,Dongsheng,CN,39.82,109.98,278.67,28,5.09,0,22:48 04-10-2020
560,Ylivieska,FI,64.08,24.55,273.15,91,1.79,9,22:48 04-10-2020
561,Suicheng,CN,33.9,117.93,283.15,84,4.85,82,22:48 04-10-2020
562,Manresa,ES,41.73,1.83,285.93,93,1.5,86,22:48 04-10-2020
563,Kuytun,RU,54.34,101.5,275.9,77,4.09,100,22:48 04-10-2020
564,Bontang,ID,0.13,117.5,302.73,64,4.44,93,22:48 04-10-2020
